Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Netherlands,"['4,6', '4,3', '4,6', '4,5', '4,6', '4,5', '4,5', '4,7', '4,5', '4,4', '4,4', '4,3', '4,7', '4,6', '4,5', '4,6', '4,8', '4,5', '4,3', '4,5', '4,5', '4,4', '4,5', '4,5', '4,4', '4,6', '4,4']","[90000.0, 5000.0, 83000.0, 10000.0, 17000.0, 64000.0, 30000.0, 14000.0, 12000.0, 7000.0, 13000.0, 25000.0, 3000.0, 6000.0, 2000.0, 8000.0, 9000.0, 9000.0, 19000.0, 6000.0, 13000.0, 9000.0, 14000.0, 6000.0, 5000.0, 1000.0, 3000.0]",22.0,1945.0,13.0,168.0,3.0,2358333.0,970403.0,5640.0,3000.0,1.0,2.0,1.0,1.0,,6.2
New Caledonia,"['4,3', '4,4', '4,5', '3,9', '4,6', '4,5', '4,2', '4,8', '4,2']","[86.0, 668.0, 112.0, 9.0, 121.0, 4.0, 32.0, 11.0, 70.0]",0.0,,0.0,,,73141.0,5839.0,,,,,,,,
New Zealand,"['4.7', '4.7', '4.6', '4.6', '4.6', '4.6', '4.7', '4.8', '4.4', '4.7', '4.6', '4.7', '4.7', '4.5', '4.6', '4.8', '4.4', '4.7', '4.4', '4.7', '4.5', '4.8', '4.5', '4.4', '4.5', '4.6', '4.5']","[22000.0, 12000.0, 2000.0, 4000.0, 2000.0, 242.0, 1000.0, 1000.0, 3000.0, 2000.0, 447.0, 3000.0, 1000.0, 1000.0, 5000.0, 724.0, 1000.0, 698.0, 1000.0, 1000.0, 883.0, 2000.0, 1000.0, 672.0, 291.0, 406.0, 50.0]",3.0,1907.0,8.0,254.0,3.0,1381724.0,806159.0,,,2.2,2.0,2.0,,,6.4
Nicaragua,"['4.7', '4.3', '4.5', '4.1', '4.4', '3.7', '4.6', '4.5', '4.6', '4.3', '4.5', '4.3', '4.2', '4.1', '4.4', '3.5', '4.4', '4.5', '5.0', '4.8', '4.3', '4.3', '4.5', '5.0', '5.0', '4.2']","[382.0, 98.0, 876.0, 472.0, 178.0, 6.0, 1000.0, 154.0, 333.0, 107.0, 373.0, 16.0, 114.0, 221.0, 28.0, 8.0, 117.0, 263.0, 7.0, 5.0, 3.0, 43.0, 2.0, 2.0, 1.0, 5.0]",0.0,1821.0,0.0,,1.0,42167.0,718154.0,,,,,,,,
Niger,"['3,8', '3,6', '3,8']","[1000.0, 23.0, 57.0]",0.0,1958.0,0.0,,2.0,348056.0,399707.0,,,,,,,,
Nigeria,"['3.9', '3.9', '4.2', '4.0', '3.9', '4.5', '4.7', '4.9', '4.4', '3.8', '4.1', '3.8', '3.7', '4.3', '3.9', '4.5', '3.5', '4.4', '4.3', '3.8', '4.3', '4.0', '4.2', '5.0', '4.3']","[1000.0, 1000.0, 573.0, 283.0, 511.0, 13.0, 6000.0, 116.0, 383.0, 120.0, 620.0, 18.0, 39.0, 1000.0, 281.0, 142.0, 12.0, 90.0, 251.0, 627.0, 380.0, 1.0, 222.0, 3.0, 4.0]",1.0,1960.0,0.0,,2.0,1308568.0,1670455.0,,,,,,,,
North Korea,"['5.0', '4.6', '4.4']","[1.0, 1000.0, 3000.0]",0.0,1948.0,0.0,,0.0,49549.0,110377.0,,,,,,,,
North Macedonia,"['4,0', '4,1', '4,4', '4,2', '4,3', '4,4', '4,3', '4,7', '4,4', '4,6', '4,6', '4,6', '4,8', '4,7', '4,3', '5,0', '4,6', '4,3', '4,7', '4,7', '4,1']","[138.0, 1000.0, 858.0, 422.0, 96.0, 2000.0, 533.0, 66.0, 321.0, 2000.0, 3000.0, 320.0, 1000.0, 72.0, 216.0, 5.0, 320.0, 119.0, 26.0, 92.0, 235.0]",1.0,,0.0,,2.0,131311.0,693896.0,,,,,,,,
Northern Mariana Islands,['4.4'],[70.0],0.0,,0.0,,,21843.0,2741.0,,,,,,,,
Norway,"['4,6', '4,3', '4,6', '4,1', '4,6', '4,5', '4,6', '4,7', '4,4', '4,4', '4,5', '4,3', '4,6', '4,5', '4,3', '4,6', '4,4', '4,3', '4,5', '4,7', '4,4', '4,3', '4,4', '4,4', '4,2', '4,4', '4,5']","[5000.0, 11000.0, 9000.0, 2000.0, 632.0, 6000.0, 3000.0, 10000.0, 928.0, 3000.0, 1000.0, 4000.0, 3000.0, 4000.0, 448.0, 267.0, 1000.0, 511.0, 1000.0, 103.0, 445.0, 82.0, 3000.0, 12000.0, 463.0, 287.0, 1000.0]",14.0,1945.0,3.0,230.0,3.0,852238.0,191392.0,5272.0,2622.0,0.8,1.8,1.0,1.2,,7.0
Oman,"[4.6, 4.4, 4.8, 4.4, 4.4, 4.5, 4.0, 4.4, 4.2, 4.4, 4.0, 4.7, 4.2, 4.0, 4.1, 4.4, 4.1, 4.2]","[3000.0, 1000.0, 2000.0, 1000.0, 254.0, 113.0, 85.0, 414.0, 488.0, 182.0, 533.0, 210.0, 163.0, 787.0, 228.0, 124.0, 447.0, 17.0]",0.0,1605.0,1.0,454.0,0.0,2372836.0,25099.0,,,,,,,,
Pakistan,"['4.3', '4.5', '4.5', '4.6', '4.4', '4.4', '4.6', '4.5', '4.8', '4.4', '4.3', '4.3', '4.7', '4.8', '4.7', '4.3', '4.6', '4.6', '4.4', '4.1', '4.1', '4.2', '4.5', '4.4', '4.4']","[1000.0, 4000.0, 8000.0, 13000.0, 12000.0, 4000.0, 25000.0, 678.0, 371.0, 1000.0, 1000.0, 2000.0, 1000.0, 3000.0, 1000.0, 896.0, 8000.0, 1000.0, 796.0, 455.0, 84.0, 1000.0, 766.0, 230.0, 482.0]",2.0,1947.0,2.0,341.0,1.0,3276580.0,6328400.0,,,,,,,,
Palestine,"[4.3, 4.8, 4.4, 4.5, 4.3, 4.6, 4.4, 4.7, 4.7, 4.5, 4.7]","[386.0, 49.0, 132.0, 440.0, 270.0, 717.0, 36.0, 6.0, 15.0, 4.0, 7.0]",1.0,,0.0,,0.0,272784.0,4022791.0,,,,,,,,
Panama,"['4.6', '4.9', '4.6', '4.5', '4.5', '4.7', '4.7', '4.7', '4.6', '4.6', '4.5', '3.9', '4.6', '4.2', '4.9', '4.7', '4.3', '2.9', '3.0']","[2000.0, 375.0, 8000.0, 302.0, 202.0, 904.0, 327.0, 31.0, 71.0, 1000.0, 157.0, 58.0, 394.0, 34.0, 40.0, 167.0, 76.0, 12.0, 2.0]",0.0,1821.0,0.0,,2.0,313165.0,139520.0,,,,,,,,
Papua New Guinea,"['4.4', '4.1', '4.1', '3.9', '4.6']","[188.0, 13.0, 40.0, 14.0, 18.0]",0.0,1973.0,0.0,,1.0,31068.0,4810.0,,,,,,,,
Paraguay,"['4,6', '4,5', '4,3', '4,6', '4,5', '4,6', '4,3', '4,5', '4,4', '4,8', '4,6', '4,6', '4,5', '4,1', '4,7', '4,8', '3,7', '4,2', '4,8', '4,5', '4,9', '4,2', '4,4', '4,6', '4,7', '4,7', '4,5']","[1000.0, 454.0, 29.0, 262.0, 365.0, 215.0, 149.0, 182.0, 71.0, 146.0, 363.0, 78.0, 225.0, 9.0, 158.0, 19.0, 21.0, 5.0, 17.0, 14.0, 63.0, 6000.0, 94.0, 744.0, 30.0, 416.0, 116.0]",0.0,1811.0,0.0,,2.0,169567.0,896484.0,,,,,,,,
Peru,"['4.0', '4.6']","[2000.0, 75.0]",1.0,1821.0,1.0,336.0,2.0,1224519.0,1519635.0,,,,,,,,
Philippines,"['4.7', '4.7', '4.7', '4.6', '4.4', '4.4', '4.7', '4.7', '4.4', '4.6', '4.5', '4.7', '4.5', '4.5', '4.4', '4.3', '4.6', '4.4', '4.5', '4.7', '4.2', '4.7', '4.2', '5.0', '4.2', '4.5', '4.0']","[7000.0, 4000.0, 1000.0, 1000.0, 2000.0, 224.0, 182.0, 142.0, 877.0, 995.0, 3000.0, 3000.0, 594.0, 470.0, 424.0, 808.0, 221.0, 348.0, 715.0, 116.0, 717.0, 91.0, 369.0, 72.0, 188.0, 147.0, 5.0]",1.0,1935.0,1.0,404.0,1.0,225525.0,6094307.0,,,,,,,,
Poland,"['4,6', '4,6', '4,7', '4,7', '4,8', '4,7', '4,6', '4,8', '4,5', '4,7', '4,7', '4,7', '4,8', '4,8', '4,6', '4,7', '4,5', '4,3', '4,8', '4,8', '4,6', '4,8', '4,7', '4,6', '4,9', '4,6', '3,5']","[18000.0, 18000.0, 34000.0, 25000.0, 7000.0, 42000.0, 52000.0, 891.0, 7000.0, 737.0, 14000.0, 50000.0, 2000.0, 3000.0, 902.0, 20000.0, 11000.0, 901.0, 2000.0, 5000.0, 25000.0, 7000.0, 390.0, 4000.0, 2000.0, 4000.0, 149.0]",18.0,966.0,2.0,283.0,2.0,817254.0,4825096.0,2230.0,3015.0,1.2,2.0,0.8,,,9.8
Portugal,"['4,6', '4,6', '4,7', '4,5', '4,6', '4,5', '4,7', '4,4', '4,7', '4,4', '4,6', '4,7', '4,6', '4,7', '4,6', '4,3', '4,8', '4,2', '4,8', '4,8', '4,6', '4,6', '4,4', '4,5', '4,0', '4,5']","[8000.0, 6000.0, 15000.0, 6000.0, 13000.0, 11000.0, 694.0, 5000.0, 1000.0, 5000.0, 2000.0, 7000.0, 2000.0, 2000.0, 2000.0, 21000.0, 6000.0, 7000.0, 1000.0, 103.0, 2000.0, 880.0, 4000.0, 3000.0, 1000.0, 17000.0]",2.0,1139.0,5.0,323.0,3.0,1001963.0,2081419.0,5245.0,2455.0,2.2,0.6,2.0,,,10.2
Puerto Rico,"['4.7', '4.6', '4.6', '4.6', '4.7', '4.5', '4.5', '4.7', '4.8', '4.7', '4.7', '4.7', '4.6', '4.6', '4.6', '4.7', '4.7', '4.6', '4.7', '4.5', '4.5', '4.6', '4.7', '4.7', '4.4', '4.6']","[2000.0, 559.0, 765.0, 559.0, 2000.0, 300.0, 383.0, 1000.0, 118.0, 48.0, 126.0, 186.0, 3000.0, 1000.0, 241.0, 163.0, 162.0, 51.0, 165.0, 55.0, 137.0, 196.0, 5000.0, 100.0, 234.0, 1000.0]",0.0,,0.0,,,247132.0,1850529.0,,,,,,,,
Qatar,"[4.7, 4.7, 4.3, 4.6, 4.8, 4.6, 4.4, 4.6, 4.5, 4.8, 4.2, 4.4, 4.5, 4.7, 4.7, 4.3, 4.3, 4.2, 3.5, 4.3]","[15000.0, 13000.0, 698.0, 200.0, 1000.0, 1000.0, 1000.0, 1000.0, 423.0, 327.0, 114.0, 881.0, 1000.0, 77.0, 6.0, 54.0, 229.0, 13.0, 13.0, 6.0]",0.0,1971.0,2.0,242.0,0.0,2226192.0,25705.0,,,,,,,,
Republic of the Congo,"['4,1', '4,6', '4,3']","[230.0, 38.0, 87.0]",0.0,,0.0,,,387606.0,223767.0,,,,,,,,
Romania,"['4,4', '4,6', '4,7', '4,6', '4,4', '4,6', '4,7', '4,6', '4,8', '4,7', '4,8', '4,9', '5,0', '4,9', '4,4', '4,8', '4,5', '4,4', '4,9', '4,5', '4,4', '4,7', '4,8', '4,5', '4,9', '4,7']","[6000.0, 8000.0, 18000.0, 10000.0, 6000.0, 5000.0, 389.0, 2000.0, 14000.0, 11000.0, 12000.0, 57.0, 350.0, 743.0, 3000.0, 3000.0, 484.0, 1000.0, 3000.0, 20000.0, 91000.0, 964.0, 719.0, 2000.0, 538.0, 1000.0]",4.0,1877.0,0.0,,2.0,705310.0,3987093.0,3600.0,4002.0,1.0,2.2,1.0,1.6,,11.0
Russia,"['4,8', '4,8', '4,8', '4,8', '4,7', '4,8', '4,8', '4,8', '4,5', '4,6', '4,7', '4,8', '4,8', '4,7', '4,9', '4,4', '4,8', '4,8', '4,8', '4,7', '4,8', '4,8', '4,9', '4,8', '4,7', '4,8', '4,8']","[16000.0, 58000.0, 30000.0, 17000.0, 7000.0, 55000.0, 17000.0, 14000.0, 2000.0, 2000.0, 14000.0, 59000.0, 3000.0, 17000.0, 54000.0, 4000.0, 49000.0, 80000.0, 45000.0, 12000.0, 28000.0, 11000.0, 48000.0, 24000.0, 13000.0, 11000.0, 7000.0]",30.0,1480.0,11.0,368.0,1.0,11636911.0,10756697.0,,,,,,,,
Rwanda,"['4,4']",[577.0],0.0,1962.0,0.0,,1.0,513907.0,492489.0,,,,,,,,
Saint Kitts and Nevis,"['4.4', '4.6', '4.8', '4.6', '3.5']","[110.0, 64.0, 151.0, 21.0, 6.0]",0.0,,0.0,,,7725.0,50285.0,,,,,,,,
Saint Lucia,"['4.0', '4.2', '5.0', '4.6', '4.0', '4.2', '4.7', '4.2', '4.8', '4.5', '4.0', '5.0', '4.7', '5.0', '4.0', '5.0']","[6.0, 14.0, 1.0, 13.0, 26.0, 47.0, 3.0, 144.0, 10.0, 2.0, 2.0, 2.0, 9.0, 5.0, 1.0, 1.0]",2.0,,0.0,,,8338.0,71227.0,,,,,,,,
Saint Vincent and the Grenadines,"['4.8', '3.9']","[19.0, 154.0]",0.0,,0.0,,,,,,,,,,,,
Samoa,"['3.7', '4.7']","[32.0, 107.0]",0.0,1962.0,0.0,,,4021.0,135732.0,,,,,,,,
Sao Tome and Principe,"['3,9', '4,2', '3,0', '4,1', '4,3']","[7.0, 138.0, 1.0, 74.0, 171.0]",0.0,1975.0,0.0,,2.0,2139.0,39608.0,,,,,,,,
Saudi Arabia,"[4.5, 4.6, 4.4, 4.5, 4.6, 4.3, 4.5, 4.4, 4.6, 4.4, 4.4, 4.1, 4.5, 4.5, 4.2, 4.5, 4.3, 4.3, 4.2, 4.6, 4.2, 4.8, 4.3, 4.2, 4.3, 4.4]","[14000.0, 4000.0, 1000.0, 4000.0, 5000.0, 6000.0, 1000.0, 1000.0, 1000.0, 1000.0, 217.0, 300.0, 201.0, 502.0, 67.0, 1000.0, 481.0, 1000.0, 125.0, 1000.0, 10000.0, 5.0, 2000.0, 102.0, 1000.0, 7000.0]",0.0,1927.0,3.0,175.0,0.0,13454842.0,299268.0,,,,,,,,
Senegal,"['3,9', '4,4', '4,3', '4,4', '4,3', '5,0', '4,0', '4,9', '3,9', '4,2', '4,2', '4,5', '4,3', '5,0', '4,8', '4,2', '4,3']","[391.0, 2000.0, 57.0, 1000.0, 88.0, 2.0, 60.0, 85.0, 55.0, 480.0, 93.0, 135.0, 177.0, 1.0, 18.0, 51.0, 7.0]",0.0,1959.0,0.0,,2.0,274929.0,693765.0,,,,,,,,
Serbia,"['4,7', '4,5', '4,6', '4,5', '4,7', '4,3', '4,7', '4,6', '4,6', '4,5', '4,7', '4,6', '4,7', '4,6', '4,5', '4,7', '4,7', '4,7', '4,8', '4,6', '4,7', '4,7', '4,3', '4,6', '4,4', '4,5', '4,5']","[6000.0, 1000.0, 374.0, 2000.0, 1000.0, 14000.0, 2000.0, 3000.0, 1000.0, 6000.0, 494.0, 3000.0, 89.0, 268.0, 259.0, 188.0, 138.0, 79.0, 346.0, 943.0, 512.0, 1000.0, 48.0, 459.0, 1000.0, 439.0, 1000.0]",0.0,1945.0,0.0,,1.0,823011.0,1003962.0,,,,,,,,
Seychelles,"['4,4', '4,3', '4,6']","[107.0, 115.0, 7.0]",0.0,1976.0,0.0,,3.0,13050.0,29258.0,,,,,,,,
Sierra Leone,"['4.1', '4.1', '3.9']","[51.0, 63.0, 27.0]",0.0,1961.0,0.0,,2.0,53746.0,152486.0,,,,,,,,
Singapore,"['5.0', '4.6', '4.5', '4.6', '4.6', '4.5', '4.4', '4.6', '4.6', '4.4', '4.5', '4.4', '4.7', '4.5', '4.8', '4.4', '4.6', '4.5', '4.0', '4.4', '4.5', '4.6', '3.9', '4.9', '4.4', '4.4', '4.4', '4.3']","[5.0, 13000.0, 14000.0, 14000.0, 5000.0, 1000.0, 1000.0, 2000.0, 580.0, 6000.0, 654.0, 5000.0, 5000.0, 4000.0, 428.0, 526.0, 2000.0, 1000.0, 3000.0, 9000.0, 527.0, 291.0, 28.0, 900.0, 821.0, 1000.0, 2000.0, 1000.0]",0.0,1959.0,3.0,154.0,1.0,2523648.0,348464.0,,,,,,,,
Slovakia,"['4,4', '4,5', '4,3', '4,5', '4,8', '4,6', '4,2', '4,6', '4,6', '4,6', '4,9', '4,8', '4,8', '4,7', '4,2', '4,5', '4,5', '4,6', '4,4', '4,6', '4,5', '4,7', '4,5', '4,7', '4,7', '4,5', '4,6']","[1000.0, 1000.0, 196.0, 1000.0, 3000.0, 381.0, 284.0, 298.0, 676.0, 2000.0, 1000.0, 4000.0, 290.0, 1000.0, 1000.0, 531.0, 857.0, 475.0, 207.0, 1000.0, 464.0, 156.0, 111.0, 689.0, 334.0, 1000.0, 994.0]",0.0,1993.0,0.0,,3.0,197161.0,419651.0,2707.0,4117.0,2.2,1.0,0.8,,,9.0
Slovenia,"['4,5', '4,6', '4,5', '4,6', '4,7', '4,6', '4,7', '4,7', '4,7', '4,5', '4,4', '4,8', '4,7', '4,8', '4,6', '4,6', '4,2', '4,4', '4,4', '4,7', '4,7', '4,1', '4,9', '4,7', '4,4', '4,7', '4,6']","[1000.0, 184.0, 787.0, 1000.0, 2000.0, 818.0, 2000.0, 786.0, 303.0, 726.0, 822.0, 3000.0, 795.0, 97.0, 135.0, 216.0, 46.0, 116.0, 479.0, 183.0, 1000.0, 109.0, 115.0, 672.0, 509.0, 439.0, 1000.0]",1.0,1991.0,0.0,,3.0,277964.0,160197.0,4091.0,2298.0,1.0,1.2,1.0,0.8,,9.8
Solomon Islands,['4.0'],[29.0],0.0,1976.0,0.0,,2.0,2520.0,4270.0,,,,,,,,
Somalia,[],[],0.0,1960.0,0.0,,0.0,58590.0,2034221.0,,,,,,,,
South Africa,"['4,5', '4,6', '4,4', '4,4', '4,4', '4,5', '4,6', '4,7', '4,6', '4,5', '4,6', '4,4', '4,8', '4,1', '4,7', '4,7', '4,5', '4,3', '4,5', '4,7', '4,9', '4,4', '4,3', '4,4', '4,6', '4,1']","[809.0, 5000.0, 822.0, 3000.0, 2000.0, 5000.0, 1000.0, 530.0, 398.0, 5000.0, 646.0, 238.0, 518.0, 596.0, 462.0, 200.0, 2000.0, 1000.0, 755.0, 548.0, 58.0, 529.0, 1000.0, 247.0, 203.0, 310.0]",11.0,1910.0,5.0,270.0,2.0,2860495.0,914901.0,,,,,,,,
South Korea,"['4.7', '4.5', '4.6', '4.5', '4.6', '4.5', '4.6', '4.2', '4.7', '4.6', '4.5', '4.7', '4.4', '4.5', '4.6', '4.5', '4.3', '4.5', '4.6', '4.3', '4.4', '4.2', '4.7', '4.2', '4.1', '3.9', '4.8']","[2000.0, 4000.0, 2000.0, 2000.0, 1000.0, 6000.0, 1000.0, 1000.0, 861.0, 7000.0, 469.0, 309.0, 328.0, 1000.0, 1000.0, 5000.0, 2000.0, 3000.0, 9000.0, 1000.0, 1000.0, 2000.0, 182.0, 2000.0, 2000.0, 2000.0, 4.0]",1.0,1948.0,14.0,237.0,3.0,1728182.0,2204554.0,,,,,,,,
South Sudan,"['3.3', '4.7', '5.0', '5.0', '5.0', '3.7', '4.7', '4.3', '4.1', '3.3', '4.2']","[4.0, 3.0, 1.0, 3.0, 1.0, 6.0, 6.0, 8.0, 41.0, 3.0, 270.0]",0.0,2011.0,0.0,,0.0,882252.0,2575870.0,,,,,,,,
Spain,"['4,5', '4,7', '4,7', '4,5', '4,7', '4,4', '4,6', '4,7', '4,3', '4,7', '4,7', '4,5', '4,5', '4,6', '4,6', '4,5', '4,7', '4,7', '4,6', '4,3', '4,6', '4,4', '4,9', '4,7', '4,7', '4,4', '4,6']","[56000.0, 22000.0, 120000.0, 76000.0, 39000.0, 29000.0, 41000.0, 130000.0, 26000.0, 30000.0, 19000.0, 12000.0, 12000.0, 13000.0, 15000.0, 19000.0, 38000.0, 6000.0, 7000.0, 4000.0, 1000.0, 5000.0, 1000.0, 52000.0, 5000.0, 7000.0, 5000.0]",8.0,1479.0,14.0,327.0,3.0,6842202.0,1489823.0,4754.0,3171.0,2.0,1.2,,,,10.6
Sri Lanka,"['4.4', '4.3', '4.2', '4.3', '4.5', '4.3', '4.4', '4.6', '4.4', '4.7', '4.5', '4.6', '3.8', '4.4', '4.2', '4.3', '4.6', '4.8', '4.4', '4.7', '4.6', '4.9', '4.3', '4.1', '4.2']","[4000.0, 636.0, 849.0, 157.0, 418.0, 902.0, 489.0, 195.0, 129.0, 1000.0, 341.0, 284.0, 13.0, 89.0, 136.0, 237.0, 28.0, 161.0, 210.0, 1000.0, 125.0, 46.0, 249.0, 380.0, 245.0]",0.0,1948.0,0.0,,2.0,40254.0,1960025.0,,,,,,,,
Sudan,"['4.3', '4.3', '4.4', '4.1', '4.2', '4.1', '4.0']","[106.0, 163.0, 16.0, 41.0, 270.0, 54.0, 3.0]",0.0,1956.0,0.0,,0.0,1379147.0,2104887.0,,,,,,,,
Suriname,"['4,3', '4,3', '4,4', '5,0', '3,6', '4,5', '5,0', '4,5', '4,1', '2,0', '4,3']","[30.0, 370.0, 49.0, 7.0, 20.0, 20.0, 1.0, 38.0, 14.0, 3.0, 4.0]",0.0,,0.0,,2.0,47801.0,273209.0,,,,,,,,
Sweden,"['4,6', '4,7', '4,4', '4,5', '4,3', '4,5', '4,3', '4,5', '4,6', '4,5', '4,2', '4,5', '4,4', '4,5', '4,6', '4,6', '4,3', '4,6', '4,7', '4,3', '4,3', '4,3', '4,4', '4,6', '4,5', '4,5', '4,5']","[6000.0, 52000.0, 6000.0, 14000.0, 9000.0, 2000.0, 1000.0, 29000.0, 3000.0, 2000.0, 6000.0, 2000.0, 17000.0, 38000.0, 4000.0, 5000.0, 13000.0, 2000.0, 5000.0, 5000.0, 2000.0, 7000.0, 2000.0, 2000.0, 403.0, 4000.0, 7000.0]",34.0,1523.0,8.0,179.0,3.0,2003908.0,327581.0,4283.0,2607.0,1.0,2.4,1.0,1.2,,8.0
Switzerland,"['4.4', '4.5', '4.6', '4.5', '4.6', '4.7', '4.6', '4.6', '4.6', '4.5', '4.5', '4.2', '4.5', '4.3', '4.5', '4.6', '4.5', '4.7', '4.6', '4.6', '4.6', '4.7', '4.5', '4.7', '4.6', '4.7', '4.7']","[2079.0, 7897.0, 6351.0, 2228.0, 3910.0, 1203.0, 8293.0, 5190.0, 11000.0, 1084.0, 1110.0, 191.0, 389.0, 4051.0, 2161.0, 756.0, 3152.0, 7368.0, 871.0, 2803.0, 309.0, 8121.0, 2333.0, 3345.0, 3652.0, 1354.0, 5806.0]",25.0,,9.0,166.0,3.0,2491249.0,713623.0,4792.0,2889.0,1.0,1.2,1.0,1.2,,4.0
Syria,"['4.5', '4.3', '4.4', '4.6', '4.7', '4.3', '4.2', '4.4', '4.3', '4.6', '5.0', '4.4', '3.7', '4.6', '3.9', '4.5', '4.5', '4.0']","[362.0, 64.0, 46.0, 122.0, 438.0, 41.0, 35.0, 71.0, 39.0, 178.0, 4.0, 9.0, 3.0, 43.0, 37.0, 111.0, 214.0, 8.0]",0.0,1961.0,0.0,,0.0,868711.0,8457214.0,,,,,,,,
Taiwan,"['4.5', '4.5', '4.4', '4.2', '4.4', '4.6', '4.4', '4.4', '4.5', '4.6', '4.7', '4.4', '4.6', '4.5', '4.8', '4.6', '4.6', '4.5', '4.2', '4.4', '4.6', '4.5', '4.6', '4.4', '4.5', '4.2', '4.3']","[9095.0, 4000.0, 5146.0, 627.0, 8490.0, 2470.0, 6159.0, 9754.0, 2000.0, 4000.0, 5000.0, 1000.0, 4757.0, 9924.0, 109.0, 3000.0, 8046.0, 9769.0, 3000.0, 1000.0, 2285.0, 5992.0, 2000.0, 8948.0, 3130.0, 2267.0, 767.0]",1.0,1949.0,7.0,285.0,3.0,,,,,,,,,,
Tajikistan,[],[],0.0,,0.0,,1.0,276031.0,586851.0,,,,,,,,
Tanzania,"['4.3', '4.2', '4.3', '4.4', '4.7', '4.2', '4.3', '4.2', '4.0', '4.1', '4.6', '4.8', '4.7', '4.5', '4.4', '4.6', '4.2', '4.1', '4.0', '3.5']","[1000.0, 53.0, 286.0, 2000.0, 27.0, 118.0, 111.0, 138.0, 468.0, 125.0, 172.0, 12.0, 30.0, 568.0, 7.0, 20.0, 1000.0, 280.0, 343.0, 272.0]",1.0,1961.0,0.0,,1.0,426017.0,327863.0,,,,,,,,
Thailand,"['4.5', '4.3', '4.6', '4.5', '4.6', '4.6', '4.5', '4.5', '4.6', '4.5', '4.4', '4.6', '4.6', '4.5', '4.6', '4.8', '4.7', '4.3', '4.7', '4.4', '4.4', '4.6', '4.2', '4.1', '4.5', '4.1', '3.9']","[6000.0, 376.0, 397.0, 1000.0, 6000.0, 2000.0, 825.0, 236.0, 2000.0, 117.0, 12000.0, 437.0, 119.0, 2000.0, 4000.0, 1000.0, 4000.0, 1000.0, 111.0, 9000.0, 857.0, 1000.0, 339.0, 851.0, 8000.0, 342.0, 217.0]",0.0,1776.0,2.0,296.0,0.0,3632496.0,1086985.0,,,,,,,,
Togo,"['3,8', '4,0', '4,0', '2,8', '2,9', '3,2', '2,9', '3,9', '3,4', '3,6', '3,5', '4,7', '4,2', '2,5', '5,0', '4,5', '4,4', '4,0', '3,9']","[709.0, 121.0, 2.0, 22.0, 11.0, 5.0, 16.0, 35.0, 5.0, 7.0, 47.0, 3.0, 25.0, 2.0, 2.0, 62.0, 12.0, 2.0, 172.0]",0.0,1958.0,0.0,,1.0,279936.0,545409.0,,,,,,,,
Tonga,['3.8'],[12.0],0.0,1970.0,0.0,,,3742.0,74550.0,,,,,,,,
Tunisia,[],[],2.0,1956.0,0.0,,2.0,60145.0,902268.0,,,,,,,,
Turkey,[],[],2.0,,3.0,390.0,1.0,6052652.0,3411408.0,2880.0,3371.0,1.0,2.0,1.0,,,12.0
Turkmenistan,[],[],0.0,1991.0,0.0,,1.0,194920.0,242554.0,,,,,,,,
Turks and Caicos Islands,"['4.4', '4.6', '5.0', '3.8', '4.6']","[187.0, 36.0, 4.0, 9.0, 7.0]",0.0,,0.0,,,25748.0,2689.0,,,,,,,,
Uganda,"['4.1', '4.6', '4.1', '4.7', '4.4']","[2000.0, 10.0, 921.0, 66.0, 38.0]",0.0,1962.0,0.0,,1.0,1720313.0,781440.0,,,,,,,,
Ukraine,"['4,6', '4,6', '4,7', '4,5', '4,8', '4,7', '4,8', '4,3', '4,6', '4,4', '4,4', '4,7', '4,9', '4,7', '4,6', '4,7', '4,8', '5,0', '4,7', '4,6', '4,7', '4,6', '4,6', '4,6', '4,7', '4,7', '4,7']","[2000.0, 2000.0, 25000.0, 296.0, 3000.0, 344.0, 2000.0, 81.0, 3000.0, 1000.0, 3000.0, 2000.0, 669.0, 12000.0, 1000.0, 7000.0, 1000.0, 386.0, 1000.0, 4000.0, 4000.0, 2000.0, 4000.0, 384.0, 1000.0, 8000.0, 17000.0]",4.0,1991.0,0.0,,1.0,4997387.0,6139144.0,,,,,,,,
United Arab Emirates,"['4.6', '4.6', '4.5', '4.5', '4.6', '4.5', '4.6', '4.5', '4.6', '4.5', '4.4', '4.3', '4.2', '4.5', '4.4', '4.5', '4.6', '4.5', '5.0', '4.4', '4.7', '4.5', '4.6', '4.6', '4.3', '4.2', '4.5']","[2000.0, 28000.0, 27000.0, 2000.0, 4000.0, 913.0, 333.0, 1000.0, 1000.0, 1000.0, 1000.0, 925.0, 3000.0, 1000.0, 1000.0, 1000.0, 956.0, 1000.0, 198.0, 2000.0, 5000.0, 452.0, 130.0, 158.0, 14000.0, 566.0, 271.0]",0.0,1971.0,4.0,337.0,0.0,8716332.0,203214.0,,,,,,,,
