Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Bolivia,"['4,6', '4,3', '4,4', '4,6', '4,7', '4,1', '4,1', '4,1', '4,3', '4,0', '4,1', '4,3', '4,7', '4,5', '4,3', '4,0', '4,2', '4,3', '4,3', '4,1', '4,5', '4,3', '4,5', '4,4', '4,4', '4,6', '3,7']","[448.0, 410.0, 499.0, 846.0, 2000.0, 29.0, 67.0, 49.0, 71.0, 107.0, 63.0, 130.0, 267.0, 2000.0, 193.0, 34.0, 2000.0, 214.0, 29.0, 225.0, 551.0, 203.0, 8.0, 183.0, 598.0, 700.0, 34.0]",0.0,1825.0,0.0,,0.0,164121.0,927244.0,,,,,,,,
Bosnia and Herzegovina,"['4,7', '4,2', '4,6', '4,7', '4,1', '4,8', '4,4', '4,6', '4,7', '4,8', '4,8', '5,0', '4,7', '4,7', '4,6', '4,5', '4,6', '4,5', '4,7', '4,7', '4,5', '4,8', '4,6', '4,7', '5,0', '4,5', '4,8']","[3000.0, 677.0, 203.0, 68.0, 64.0, 963.0, 507.0, 101.0, 1000.0, 159.0, 732.0, 20.0, 1000.0, 368.0, 110.0, 338.0, 309.0, 324.0, 795.0, 1000.0, 32.0, 180.0, 6000.0, 503.0, 3.0, 108.0, 465.0]",2.0,1992.0,0.0,,2.0,36042.0,1687639.0,,,,,,,,
Botswana,"['3.8', '3.9', '4.3', '2.9', '3.9', '4.1', '4.1']","[242.0, 34.0, 8.0, 7.0, 39.0, 36.0, 287.0]",0.0,1885.0,0.0,,3.0,110268.0,63561.0,,,,,,,,
Brazil,"['4,7', '4,8', '4,7', '4,7', '4,8', '4,6', '4,9', '4,8', '4,7', '4,8', '4,6', '4,8', '4,8', '4,7', '4,7', '4,5', '4,8', '4,8', '4,7', '4,8', '4,8', '4,7', '4,6', '4,8', '4,8', '4,7', '4,6']","[104000.0, 37000.0, 95000.0, 57000.0, 21000.0, 19000.0, 16000.0, 34000.0, 17000.0, 1000.0, 2000.0, 12000.0, 33000.0, 15000.0, 8000.0, 1000.0, 19000.0, 3000.0, 7000.0, 6000.0, 3000.0, 20000.0, 14.0, 42000.0, 8000.0, 3000.0, 2000.0]",1.0,1822.0,4.0,274.0,2.0,1079708.0,1897128.0,4000.0,3200.0,,,,,,
British Virgin Islands,"['4.7', '4.4', '5.0', '2.5', '3.8']","[26.0, 7.0, 1.0, 2.0, 5.0]",0.0,,0.0,,,22164.0,5355.0,,,,,,,,
Brunei,"['4,4', '4,0', '4,6', '3,8', '4,5', '3,8', '4,5', '3,0']","[821.0, 215.0, 33.0, 68.0, 49.0, 28.0, 2.0, 2.0]",0.0,1984.0,1.0,387.0,,,,,,,,,,,
Bulgaria,"['4,6', '4,4', '4,6', '4,6', '4,7', '4,5', '4,6', '4,7', '4,6', '4,1', '4,7', '4,5', '4,7', '4,6', '4,7', '4,7', '4,6', '4,7', '4,4', '4,6', '4,6', '4,5', '4,7', '4,6', '4,7', '4,7']","[3000.0, 4000.0, 3000.0, 1000.0, 4000.0, 1000.0, 3000.0, 1000.0, 3000.0, 1000.0, 14000.0, 547.0, 5000.0, 3000.0, 6000.0, 64.0, 1000.0, 763.0, 2000.0, 3000.0, 1000.0, 597.0, 5000.0, 904.0, 359.0, 628.0]",1.0,1878.0,0.0,,2.0,184363.0,1683626.0,2028.0,2207.0,1.2,1.2,,,,10.8
Burkina Faso,"['3,9', '1,0', '5,0', '4,0']","[217.0, 1.0, 2.0, 123.0]",0.0,1958.0,0.0,,2.0,723989.0,1599347.0,,,,,,,,
Burundi,"['4,4', '5,0', '4,8']","[35.0, 2.0, 8.0]",0.0,1962.0,0.0,,1.0,344767.0,551105.0,,,,,,,,
Cambodia,"['4.1', '4.6', '4.4', '4.6', '4.0', '4.8', '4.2', '4.3', '4.4', '4.7', '5.0', '4.2', '4.2', '4.4', '4.3', '4.6', '4.0', '4.3', '4.2', '4.3', '3.7', '3.7']","[5000.0, 10000.0, 4000.0, 754.0, 1000.0, 362.0, 212.0, 41.0, 82.0, 285.0, 176.0, 291.0, 578.0, 88.0, 36.0, 1000.0, 183.0, 74.0, 697.0, 313.0, 62.0, 65.0]",0.0,1953.0,0.0,,1.0,79341.0,1104819.0,,,,,,,,
