Country,Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Annee_Souverainete,Nb_Univtop500,Mean_Rank_Univ,Political_Regime,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Primary,Lower_Secondary,Break_1,Break_2,Break_3,Break_4,Break_5,End_Of_The_School_Year_Break,Literacy_Rate_2021,Global_rank_Literacy_rate,Continent,Area,Nb_graduates,Population,Education_Spending_2021,Gdp,Averageiqbycountry_Iqlynnbecker2019,Averageiqbycountry_Sourcelynnbecker2019,Averageiq_Ici2017Grade,Averageiq_Ici2017Score,Averageiqpisa2022Meanscoremathematics,Averageiqpisa2022Meanscorereading,Averageiqpisa2022Meanscorescience,Gdp_Percapita,Indice_Evolution,Nb_Foreign_Students
Dominica,4.3,65.0,0.0,,0.0,,,8284.0,78191.0,,,,,,,,,,,north-america,750.0,,72737.0,5.47,555266666.666667,66.03,T,,,366.0,359.0,383.0,7633.8956331257405,,
Dominican Republic,4.496296296296296,932.5555555555555,0.0,1865.0,0.0,,2.0,603794.0,1608567.0,,,,,,,,,,,north-america,48670.0,,11228821.0,3.75,94243425938.3647,82.05,T,D+,23.9,,,,8392.993880512005,52.7861250346667,
Ecuador,4.614814814814815,881.4814814814815,0.0,,0.0,,2.0,784787.0,1127891.0,,,,,,,,,94.48,26.0,south-america,283561.0,,18001000.0,3.69,106165866000.0,78.26,T,C-,25.3,458.0,474.0,465.0,5897.776012443753,,
Egypt,4.466666666666667,4970.814814814815,4.0,1953.0,2.0,393.0,1.0,543937.0,3610461.0,,,,,,,,,,,africa,1001450.0,,110990103.0,,424671765455.704,76.32,T,D+,21.6,471.0,482.0,477.0,3826.212914278528,53.890322736317295,
El Salvador,4.508000000000001,714.92,0.0,1821.0,0.0,,2.0,42767.0,1599058.0,,,,,,,,,,,north-america,21041.0,,6336392.0,3.53,29451240000.0,69.63,E,D+,21.7,377.0,410.0,403.0,4647.951073734074,22.896310708049626,
Eritrea,3.9,29.0,0.0,1993.0,0.0,,0.0,13934.0,802822.0,,,,,,,,,,,africa,117600.0,,3684032.0,,2065001626.01626,68.77,T,,,536.0,516.0,547.0,560.5276029134003,18.08153557785162,
Estonia,4.666666666666667,2351.6666666666665,0.0,1991.0,1.0,358.0,3.0,199277.0,206631.0,3964.0,2468.0,1.0,2.4,1.0,1.0,,11.2,99.87,5.0,europe,45339.0,,1348840.0,5.91,37191166151.98,100.72,T,B,49.5,361.0,342.0,375.0,27572.704065700906,835.5364868394213,11.087
Eswatini,3.65,35.0,0.0,1968.0,0.0,,0.0,32858.0,50039.0,,,,,,,,,,,africa,17363.0,,1201670.0,5.29,4850842571.59151,68.87,E,,,425.0,386.0,423.0,4036.750997854245,72.08483924739723,
Ethiopia,4.427272727272727,190.0,1.0,1941.0,0.0,,1.0,1085517.0,946129.0,,,,,,,,,,,africa,1104300.0,,123379924.0,4.07,111261882958.426,68.42,T,D-,10.3,,,,901.7827159500114,10.864851999397729,
Fiji,4.1,663.0,0.0,1970.0,0.0,,1.0,14087.0,233856.0,,,,,,,,,,,oceania,18272.0,,929766.0,5.97,4305031630.81808,83.96,E,,,355.0,342.0,357.0,4630.231295635762,85.74502399325485,
Finland,4.4222222222222225,2738.0,5.0,1917.0,7.0,298.0,3.0,386052.0,311889.0,3962.0,2423.0,1.0,1.8,0.8,,,9.8,,,europe,338145.0,53271.0,5556106.0,5.69,296470417085.267,101.2,T,A,60.5,,,,53359.38822716252,498.6858712818927,8.053
France,4.503703703703704,23156.48148148148,75.0,843.0,16.0,265.0,3.0,8524876.0,2341908.0,4320.0,3872.0,2.0,2.2,2.0,2.2,,8.0,,,europe,643801.0,411482.0,67971311.0,5.25,2959355819170.5,96.69,T,A-,56.7,,,,43538.30720096748,36.86562845128491,9.175
Gabon,3.9000000000000004,107.0,0.0,1960.0,0.0,,1.0,416651.0,48392.0,,,,,,,,,,,africa,267668.0,,2388992.0,2.7,20217946922.4528,62.97,E,,,,,,8462.961333672445,132.23377083863195,
Gambia,4.175,75.75,0.0,1965.0,0.0,,2.0,,,,,,,,,,,,,africa,,,2705992.0,2.94,2038414968.60683,52.68,T,,,483.0,475.0,494.0,753.2967461126382,12.76774145953624,
